date,confirmedNum,curesNum
2022-05-19,1158,697
2022-05-18,1107,658
2022-05-17,1057,627
2022-05-16,1005,576
2022-05-15,962,519
2022-05-14,923,478
2022-05-13,890,423
2022-05-12,858,384
2022-05-11,815,291
2022-05-10,780,246
2022-05-09,755,204
2022-05-08,693,178
2022-05-07,660,165
2022-05-06,616,155
2022-05-05,570,139
2022-05-04,515,133
2022-05-03,472,113
2022-05-02,425,105
2022-05-01,374,100
2022-04-30,338,90
2022-04-29,285,79
2022-04-28,235,77
2022-04-27,186,73
2022-04-26,137,72
2022-04-25,106,69
2022-04-24,74,67
2022-04-23,59,62
2022-04-22,37,56
2022-04-21,29,53
2022-04-20,28,50
2022-04-19,27,48
2022-04-18,25,45
2022-04-17,22,36
2022-04-16,15,29
2022-04-15,15,25
2022-04-14,14,18
2022-04-13,11,16
2022-04-12,9,13
2022-04-11,9,10
2022-04-10,5,9
2022-04-09,4,6
2022-04-08,0,0
